dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
unsw_nb15,UNSW-NB15,DL,MLP,6,Normal,0.9739366805244644,0.8903669054231838,0.930278732340588,6841.0
unsw_nb15,UNSW-NB15,DL,MLP,7,Reconnaissance,0.5497835497835498,0.7042513863216266,0.6175040518638574,541.0
unsw_nb15,UNSW-NB15,DL,MLP,8,Shellcode,0.15206185567010308,0.7763157894736842,0.2543103448275862,76.0
unsw_nb15,UNSW-NB15,DL,MLP,9,Worms,0.038461538461538464,0.6666666666666666,0.07272727272727272,9.0
unsw_nb15,UNSW-NB15,ML,LightGBM,0,Analysis,0.05660377358490566,0.10112359550561797,0.07258064516129033,89.0
unsw_nb15,UNSW-NB15,ML,LightGBM,1,Backdoor,0.024390243902439025,0.057971014492753624,0.034334763948497854,69.0
unsw_nb15,UNSW-NB15,ML,LightGBM,2,Dos,0.32247557003257327,0.2886297376093295,0.3046153846153846,343.0
unsw_nb15,UNSW-NB15,ML,LightGBM,3,Exploits,0.791343669250646,0.804862023653088,0.7980456026058632,1522.0
unsw_nb15,UNSW-NB15,ML,LightGBM,4,Fuzzers,0.7838983050847458,0.7644628099173554,0.7740585774058577,968.0
unsw_nb15,UNSW-NB15,ML,LightGBM,5,Generic,0.95900439238653,0.896032831737346,0.9264497878359265,731.0
unsw_nb15,UNSW-NB15,ML,LightGBM,6,Normal,0.9760532150776053,0.9652097646542903,0.9706012053505806,6841.0
unsw_nb15,UNSW-NB15,ML,LightGBM,7,Reconnaissance,0.7928436911487758,0.7781885397412199,0.7854477611940298,541.0
unsw_nb15,UNSW-NB15,ML,LightGBM,8,Shellcode,0.5357142857142857,0.5921052631578947,0.5625,76.0
unsw_nb15,UNSW-NB15,ML,LightGBM,9,Worms,0.5,0.2222222222222222,0.3076923076923077,9.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,0,Analysis,0.12612612612612611,0.47191011235955055,0.1990521327014218,89.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,1,Backdoor,0.17796610169491525,0.6086956521739131,0.2754098360655738,69.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,2,Dos,0.1588785046728972,0.04956268221574344,0.07555555555555556,343.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,3,Exploits,0.675,0.6208935611038108,0.6468172484599589,1522.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,4,Fuzzers,0.3026706231454006,0.6322314049586777,0.40936454849498327,968.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,5,Generic,0.9245283018867925,0.8043775649794802,0.8602779809802488,731.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,6,Normal,0.987813134732566,0.6398187399502997,0.7766146202980837,6841.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,7,Reconnaissance,0.25643469971401334,0.49722735674676527,0.3383647798742138,541.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,8,Shellcode,0.09715242881072027,0.7631578947368421,0.1723625557206538,76.0
unsw_nb15,UNSW-NB15,ML,Logistic Regression,9,Worms,0.018518518518518517,0.7777777777777778,0.03617571059431524,9.0
unsw_nb15,UNSW-NB15,ML,Random Forest,0,Analysis,0.07272727272727272,0.1348314606741573,0.09448818897637795,89.0
unsw_nb15,UNSW-NB15,ML,Random Forest,1,Backdoor,0.006802721088435374,0.014492753623188406,0.009259259259259259,69.0
unsw_nb15,UNSW-NB15,ML,Random Forest,2,Dos,0.25862068965517243,0.13119533527696792,0.17408123791102514,343.0
